CD_SETOR,CD_QUADRA,CD_FACE,NM_TIP_LOG,NM_TIT_LOG,NM_LOG,TOT_RES,TOT_GERAL
"352940105000006","001","001",AVENIDA,,WASHINGTON LUIZ,"19","22"
"352940105000006","001","002",RUA,,JAHU,"0","0"
"352940105000006","001","003",RUA,,TEOTONIO VILELA,"9","10"
"352940105000006","001","004",RUA,,JOAO GIANONI,"37","38"
"352940105000006","001","006",RUA,,JOAO GIANONI,"26","26"
"352940105000006","001","007",VIELA,,SEM DENOMINACAO,"0","0"
"352940105000006","001","008",RUA,,JOSE CANDIDO CERQUEIRA LEITE,"67","67"
"352940105000006","002","001",VIELA,,SEM DENOMINACAO,"3","3"
"352940105000006","002","002",RUA,,JOAO GIANONI,"10","10"
"352940105000006","002","003",RUA,,TEOTONIO VILELA,"23","23"
"352940105000006","002","004",VIELA,,ELVIRA DO AMARAL SILVA DE SOUZA,"0","0"
"352940105000006","002","005",RUA,,JOSE CANDIDO CERQUEIRA LEITE,"21","21"
"352940105000006","003","001",RUA,,TEOTONIO VILELA,"31","32"
"352940105000006","003","002",RUA,,ANTONIO FAUSTO CIRILLO,"5","5"
"352940105000006","003","003",RUA,,JOSE CANDIDO CERQUEIRA LEITE,"20","21"
"352940105000006","003","004",VIELA,,ELVIRA DO AMARAL SILVA DE SOUZA,"0","0"
"352940105000007",,,,,,,
"352940105000007","001","001",RUA,,JOSE CANDIDO CERQUEIRA LEITE,"40","48"
"352940105000007","001","004",VIELA,,"1","0","0"
"352940105000007","001","005",VIELA,,"1","0","0"
"352940105000007","001","006",RUA,,JOSE CANDIDO CERQUEIRA LEITE,"0","0"
"352940105000007","001","007",AVENIDA,,WASHINGTON LUIZ,"5","7"
"352940105000007","001","008",RUA,DOUTOR,ANGELO CAPOZZI,"34","39"
"352940105000007","002","001",RUA,DOUTOR,ANGELO CAPOZZI,"27","27"
"352940105000007","002","002",VIELA,,PICO DA NEBLINA,"8","10"
"352940105000007","002","003",VIELA,,PEDRA DA MINA,"13","13"
"352940105000007","002","004",VIELA,,PICO DO CRISTAL,"4","4"
"352940105000007","002","007",RUA,,JOSE CANDIDO CEQUEIRA LEITE,"37","41"
"352940105000008","001","001",AVENIDA,BARAO,DE MAUA,"0","0"
"352940105000008","001","002",RUA,,DOS BANDEIRANTES,"0","0"
"352940105000008","001","003",AVENIDA,DOUTOR,GETULIO VARGAS,"0","0"
"352940105000008","002","001",AVENIDA,BARAO,DE MAUA,"0","0"
"352940105000008","002","002",RUA,,ITU,"0","0"
"352940105000008","002","003",AVENIDA,DOUTOR,GETULIO VARGAS,"0","0"
"352940105000008","002","004",RUA,,DOS BANDEIRANTES,"0","0"
"352940105000008","003","001",RUA,,ITU,"0","2"
"352940105000008","003","002",AVENIDA,BARAO,DE MAUA,"2","4"
